EventId,EventTemplate,Occurrences
f06db42b,Starting in permissive <*>,1
194dd7c1,Started working: <*> available service,1
5f20bd8d,Server listening on : : port <*>,1
4a1f634b,START: tftp pid= <*> from= <*>,1
6259212f,SPCR <*> DELL PE BKC <*> MSFT <*> @ <*>,1
30c0ff51,Registering secondary module capability,1
4e48601f,Registering netfilter hooks,1
c47c3599,Registered protocol family <*>,5
4f67b71e,Received SNMP packet(s) from <*>,1
3ea26041,Reading included configuration file: <*> <*> [line= <*>,17
7c6c843d,RSDT <*> DELL PE BKC <*> MSFT <*> @ <*>,1
826feb9e,RSDP <*> DELL ) @ <*>,1
6c002bda,RRD_update <*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step),11
1d7c8312,RNG not detected,1
c0eb874d,Processor ANSI SCSI revision: <*>,1
8e7bb235,Processor <*> (supports <*>,4
11f104b9,Probing PCI hardware (bus <*>,1
8669b0cb,Power Button (FF) <*>,1
ee83b678,Physical Processor ID: <*>,5
61ff7871,"PCI interrupt <*> <*> <*> -> GSI <*> (level, low) -> IRQ <*>",11
a321ae0b,PCI Root Bridge <*> <*> <*>,1
b7d38de7,PCI Interrupt Routing Table [\_SB_.PCI0.PICH._PRT],1
627b8b43,PCI Interrupt Routing Table [\_SB_.PCI0.PBLO._PRT],1
25c404d4,PCI Interrupt Routing Table [\_SB_.PCI0.PBHI._PRT],1
1eb5dac0,PCI Interrupt Routing Table [\_SB_.PCI0.PALO._PRT],1
b00482ac,PCI Interrupt Routing Table [\_SB_.PCI0.PALO.DOBB._PRT],1
18e241de,PCI Interrupt Routing Table [\_SB_.PCI0.PALO.DOBA._PRT],1
f3156356,PCI Interrupt Routing Table <*>,4
27c42f65,PCI Interrupt Link [LNKH] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> disabled.,1
f597decf,PCI Interrupt Link [LNKG] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> disabled.,1
0f0d1cde,PCI Interrupt Link [LNKF] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> disabled.,1
9d513600,PCI Interrupt Link [LNKE] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> disabled.,1
605bf269,PCI Interrupt Link [LNKD] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> disabled.,1
17f15ddc,PCI Interrupt Link [LNKC] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
0e0ee77c,PCI Interrupt Link [LNKB] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>,1
794ab103,PCI Interrupt Link [LNKA] (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
fdb217dd,PCI Hot Plug PCI Core version: <*>,1
85d6aca3,Now running on <*> privileges.,2
182a3d2f,My unqualified host name <*> unknown; sleeping for retry,5
14e66fdf,Mounting other filesystems: failed,1
42c646d7,Mounting NFS filesystems: succeeded,1
cae85618,Mounted root <*> filesystem).,1
f27af86e,MegaRAID Model: LD <*> <*> <*> Rev: <*>,1
d8b6bf9c,MCFG <*> DELL PE BKC <*> MSFT <*> @ <*>,1
04795c89,MADT <*> DELL PE BKC <*> MSFT <*> @ <*>,1
73729144,Local disconnected: Connection <*>,3
7f47bdfa,Local APIC address <*>,1
fe6f34b5,LSI Logic MegaRAID <*>,1
3322c87b,LAPIC_NMI <*> high edge <*>,4
460b8859,LAPIC <*> <*> enabled),4
2188fc64,Interpreter enabled,1
7ba659c5,Intel(R) Xeon(TM) CPU <*> stepping <*>,1
0d37b2b4,Installing public key <*>,1
7f533fb9,Initializing.,1
f63012ac,IOAPIC <*> <*> <*>,3
c234208b,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level),1
69b9a4f8,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl),1
18cdff90,Hash tables configured (established <*> bind <*>,1
0c06938f,HPET id: <*> base: <*>,1
8dfbb35d,HPET <*> DELL PE BKC <*> MSFT <*> @ <*>,1
ea332603,FADT <*> DELL PE BKC <*> MSFT <*> @ <*>,1
5a8f4cd8,Disk quotas <*>,1
b79ffc59,Disabled at runtime.,1
7409c064,Direct-Access ANSI SCSI revision: <*>,1
75cdbabe,Device: <*> Temperature changed <*> Celsius to <*> Celsius since last report,1
481e7ae7,Detected <*> MHz processor.,1
d878e0f4,DSDT <*> DELL PE BKC <*> MSFT <*> @ <*>,1
3405a83b,DHCPREQUEST for <*> <*> from <*> <*> <*> <*> ba: <*> via <*> unknown lease <*>,9
560d360f,DHCPREQUEST for <*> <*> from <*> <*> <*> <*> ba: <*> via <*>,3
d03570df,DHCPOFFER on <*> to <*> <*> <*> <*> ba: <*> via <*>,5
0e070a01,DHCPDISCOVER from <*> <*> <*> <*> ba: <*> via <*> network A_net: no free leases,15
a589a67b,DHCPDISCOVER from <*> <*> <*> <*> ba: <*> via <*>,5
18480cf4,DHCPACK on <*> to <*> <*> <*> <*> ba: <*> via <*>,3
8ebd9816,Creating Topspin <*>,1
4211e0af,Compressed image found at block <*>,1
a74214e1,Changing permissions on special file <*>,1
7cc8df47,Cannot open file <*> such file or directory),1
953a8d97,Autodetecting RAID arrays.,2
181605bf,Assuming <*> system bus speed for PIO modes; override with idebus= xx,1
01635e5f,<*> used by <*>,3
ff435a39,"<*> to= root, ctladdr= root <*> delay= <*> <*> <*> xdelay= <*> <*> <*> mailer= relay, pri= <*> relay= <*> <*> dsn= <*> stat= Deferred: Connection refused by <*>",10
897893c3,"<*> from= root, size= <*> class= <*> nrcpts= <*> msgid= <*> relay= <*>",10
c90aaf56,<*> cache: <*>,5
d2339b5c,<*> USB HID core driver,1
39e6a2da,<*> KBD port at <*> irq <*>,1
a4a1188a,<*> AUX port at <*> irq <*>,1
1738487f,<*> <*> initialised: <*>,1
3d69ac33,<*> <*> SCSI BP Rev: <*>,1
6e5f98de,<*> <*> NIC Link is Up <*> Mbps Full Duplex,1
c66d4427,<*> <*> Intel(R) <*>,2
87a67fd5,<*> <*> <*> <*> <*> ak Exp $,1
0ce98313,<*> <*> <*> <*>,1
dede275d,<*> <*>,1
be873e05,<*> (Release Date: Mon Sep <*> <*> <*> <*> EDT <*>,1
50b535c3,<*> (Release Date: Fri Dec <*> <*> <*> <*> EST <*>,1
573f89d2,<*> (Kernel Module GPG key),1
ff52c40c,<*>,1
cd2a6bd5,... autorun DONE.,2
b8b1d713,(supports <*> <*> <*>,1
db5c62ac,(root) CMD <*>,5
b6651574,(root) CMD (run-parts <*>,14
67669ebc,(C) <*> Netfilter core team,4
