EventId,EventTemplate,Occurrences
72cd2f73,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.,5
88b0ea5c,Node card status: ALERT <*> ALERT <*> ALERT <*> ALERT <*> is ( are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*> volt rail is OK. The <*> volt rail is OK.,1
a2335b6b,Node card is not fully functional,6
19083ffd,Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*> found <*>,9
4239d39c,New ido chip inserted into the database: <*> ip= <*> v= <*> t= <*>,3
70790bc6,"NFS Mount failed on <*> slept <*> seconds, retrying ( <*>",2
1a3df0d1,Machine State Register: <*>,1
67412b59,MACHINE CHECK DCR read timeout ( mc= <*> iar <*> lr <*>,7
d55367b1,Lustre mount FAILED : <*> : point <*>,9
4f1ef491,Lustre mount FAILED : <*> : block_id : location,2
458e2a88,Kernel detected <*> integer alignment exceptions ( <*> iar <*> dear <*> ( <*> iar <*> dear <*> ( <*> iar <*> dear <*> ( <*> iar <*> dear <*> ( <*> iar <*> dear <*> ( <*> iar <*> dear <*> ( <*> iar <*> dear <*> ( <*> iar <*> dear <*>,9
24e281fb,Ido chip status changed: <*> ip= <*> v= <*> t= <*> status= M Tue Aug <*> <*> PDT <*>,1
4ae43db6,Ido chip status changed: <*> ip= <*> v= <*> t= <*> status= M Thu Aug <*> <*> PDT <*>,2
ea89eef1,Ido chip status changed: <*> ip= <*> v= <*> t= <*> status= M Sat Sep <*> <*> PDT <*>,1
bce611bf,Ido chip status changed: <*> ip= <*> v= <*> t= <*> status= M Fri Jul <*> <*> PDT <*>,1
5cebf012,"Error receiving packet on tree network, expecting type <*> instead of type <*> ( softheader= <*> <*> <*> <*> <*> <*> <*> <*> PRXF= <*> PIXF= <*>",5
9d5d6232,Can not get assembly information for node card,6
cb2160e4,CE sym <*> at <*> mask <*>,92
115a1e3b,<*> tree receiver <*> in re-synch state event( s) ( dcr <*> detected over <*> seconds,2
58e7e4e4,<*> tree receiver <*> in re-synch state event( s) ( dcr <*> detected,3
0045c3a8,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",71
c7649685,<*> torus sender z- retransmission error( s) ( dcr <*> detected and corrected over <*> seconds,2
f972f479,<*> torus receiver z+ input pipe error( s) ( dcr <*> detected and corrected,2
c0881a85,<*> torus receiver y+ input pipe error( s) ( dcr <*> detected and corrected,1
15e5b38f,<*> torus receiver x+ input pipe error( s) ( dcr <*> detected and corrected,1
322228ab,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,51
1ae4a1e2,<*> floating point alignment exceptions,121
6265c739,<*> double-hummer alignment exceptions,109
b6cc668c,<*> ddr errors( s) detected and corrected on rank <*> symbol <*> bit <*>,18
c86a8b67,<*> ddr error( s) detected and corrected on rank <*> symbol <*> over <*> seconds,7
8b28f041,<*> <*> ffffffff ffffffff ffffffff,1
9f8cb6dc,<*> <*> dbsr= <*> <*> <*>,1
d54a2436,<*> <*> EDRAM error( s) ( dcr <*> detected and corrected over <*> seconds,1
0ebdcde9,<*> <*> EDRAM error( s) ( dcr <*> detected and corrected,1
de1af8bf,<*> <*> <*> <*> <*> <*> <*> <*>,1
0ce98313,<*> <*> <*> <*>,1
