EventId,EventTemplate,Occurrences
0a573c54,Created MRAppMaster for application appattempt_ <*> <*> <*>,1
669673fb,Container complete event for unknown container id container_ <*> <*> <*> <*>,1
b5061881,Connecting to ResourceManager at <*> <*>,1
95334e28,"Cannot assign container Container: [ContainerId: container_ <*> <*> <*> <*> NodeId: <*> <*> NodeHttpAddress: <*> <*> Resource: <memory: <*> vCores: <*> Priority: <*> Token: Token { kind: ContainerToken, service: <*> <*> }, ] for a map as either container memory less than required <memory: <*> vCores: <*> or no pending map tasks - maps.isEmpty= true",1
7fad442f,Before Scheduling: PendingReds: <*> ScheduledMaps: <*> ScheduledReds: <*> AssignedMaps: <*> AssignedReds: <*> CompletedMaps: <*> CompletedReds: <*> ContAlloc: <*> ContRel: <*> HostLocal: <*> RackLocal: <*>,5
fd3df1cb,Auth successful for job_ <*> <*> ( auth: SIMPLE),10
763a5a6e,Assigned container container_ <*> <*> <*> <*> to attempt_ <*> <*> m_ <*> <*>,10
cea2a2b0,All maps assigned. Ramping up all remaining reduces: <*>,1
6f3275df,After Scheduling: PendingReds: <*> ScheduledMaps: <*> ScheduledReds: <*> AssignedMaps: <*> AssignedReds: <*> CompletedMaps: <*> CompletedReds: <*> ContAlloc: <*> ContRel: <*> HostLocal: <*> RackLocal: <*>,12
85f1c7bc,Address change detected. Old: <*> <*> New: <*> <*>,476
0b0a461e,Adding protocol <*> to the server,1
05f480ce,Adding job token for job_ <*> <*> to jobTokenSecretManager,1
7c188553,Adding <*> tokens and <*> secret keys for NM use for launching container,1
014f3062,Added global filter 'safety' ( class= <*>,1
ceb6d1ff,Added filter AM_ PROXY_ FILTER ( class= org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,1
0cf27fee,Added filter AM_ PROXY_ FILTER ( class= org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,1
5e5abb37,Added attempt_ <*> <*> m_ <*> <*> to list of failed maps,2
d79eb00e,ATTEMPT_ START task_ <*> <*> m_ <*>,10
0e4be9d6,<*> failures on node <*>,2
fb195195,<*> <*> <*> <*> <*>,5
ff52c40c,<*>,1
