LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
11,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:05.060,25746,INFO,nova.osapi_compute.wsgi.server,req-31826992-8435-4e03-bc09-ba9cca2d8ef9 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2661140",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200', '1893', '0.2661140']"
12,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:05.185,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,76fa7094,image <*> at <*>,"['0673dd71-34c5-4fbb-86c4-40623fbe45b4', '(/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking']"
13,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:05.186,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",62dfeccd,"image <*> at <*> use: on this node <*> local, <*> on other nodes sharing this instance storage","['0673dd71-34c5-4fbb-86c4-40623fbe45b4', '(/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in', '1', '0']"
14,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:05.367,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,b36febb0,Active base files: <*>,['/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742']
15,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:06.321,25746,INFO,nova.osapi_compute.wsgi.server,req-7160b3e7-676b-498f-b147-7759d8eaea76 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2563808",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200', '1893', '0.2563808']"
16,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:06.584,25746,INFO,nova.osapi_compute.wsgi.server,req-e46f1fc1-61ce-4673-b3c7-f8bd94554273 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580891",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200', '1893', '0.2580891']"
17,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:07.864,25746,INFO,nova.osapi_compute.wsgi.server,req-546e2e6a-b85e-434a-91dc-53a0a9124a4f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2733629",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200', '1893', '0.2733629']"
18,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:08.137,25746,INFO,nova.osapi_compute.wsgi.server,req-e2c35e53-06d3-4feb-84b9-705c94d40e5b 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2694771",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200', '1893', '0.2694771']"
19,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:09.411,25746,INFO,nova.osapi_compute.wsgi.server,req-ce9c8a59-c9ba-43b1-9735-318ceabc9216 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2692339",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200', '1893', '0.2692339']"
20,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:09.692,25746,INFO,nova.osapi_compute.wsgi.server,req-e1da47c6-0f46-4ce8-940c-05397a5fab9e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2777061",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200', '1893', '0.2777061']"
21,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:10.279,25743,INFO,nova.api.openstack.compute.server_external_events,req-ab451068-9756-4ad9-9d18-5ceaa6424627 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,Creating event network-vif-plugged:e3871ffd-5cd5-4287-bddd-3529f7b59515 for instance b9000564-fe1a-409b-b8cc-1e88b294cd1d,16f9f039,Creating event <*> for instance <*>,"['network-vif-plugged:e3871ffd-5cd5-4287-bddd-3529f7b59515', 'b9000564-fe1a-409b-b8cc-1e88b294cd1d']"
22,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:10.285,25743,INFO,nova.osapi_compute.wsgi.server,req-ab451068-9756-4ad9-9d18-5ceaa6424627 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,"10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 200 len: 380 time: 0.0913219",3075551a,"<*> ""POST <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 200', '380', '0.0913219']"
23,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.296,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Resumed (Lifecycle Event),704d0812,[instance: <*> VM Resumed (Lifecycle Event),['b9000564-fe1a-409b-b8cc-1e88b294cd1d]']
24,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.302,2931,INFO,nova.virt.libvirt.driver,-,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Instance spawned successfully.,11014179,[instance: <*> Instance spawned successfully.,['b9000564-fe1a-409b-b8cc-1e88b294cd1d]']
25,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.303,2931,INFO,nova.compute.manager,req-8e64797b-fb99-4c8a-87e5-9a8de673412f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 19.05 seconds to spawn the instance on the hypervisor.,944eaae0,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,"['b9000564-fe1a-409b-b8cc-1e88b294cd1d]', '19.05']"
26,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.416,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] During sync_power_state the instance has a pending task (spawning). Skip.,a44f2c0c,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,['b9000564-fe1a-409b-b8cc-1e88b294cd1d]']
27,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.417,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Resumed (Lifecycle Event),704d0812,[instance: <*> VM Resumed (Lifecycle Event),['b9000564-fe1a-409b-b8cc-1e88b294cd1d]']
28,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.421,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,76fa7094,image <*> at <*>,"['0673dd71-34c5-4fbb-86c4-40623fbe45b4', '(/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking']"
29,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.424,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",62dfeccd,"image <*> at <*> use: on this node <*> local, <*> on other nodes sharing this instance storage","['0673dd71-34c5-4fbb-86c4-40623fbe45b4', '(/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in', '1', '0']"
30,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.470,2931,INFO,nova.compute.manager,req-8e64797b-fb99-4c8a-87e5-9a8de673412f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 19.84 seconds to build instance.,6206c58c,[instance: <*> Took <*> seconds to build instance.,"['b9000564-fe1a-409b-b8cc-1e88b294cd1d]', '19.84']"
31,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:10.600,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,b36febb0,Active base files: <*>,['/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742']
32,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:10.978,25746,INFO,nova.osapi_compute.wsgi.server,req-d81279b2-d9df-48b7-9c36-edab3801c067 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2808621",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200', '1910', '0.2808621']"
33,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:11.243,25746,INFO,nova.osapi_compute.wsgi.server,req-22455aab-13cf-4045-92e8-65371ef51485 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2603891",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200', '1910', '0.2603891']"
34,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:13.658,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,61a90d8b,Auditing locally available compute resources for node <*>,['cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us']
35,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.265,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"Total usable vcpus: 16, total allocated vcpus: 1",346c93fc,Total usable vcpus: <*> total allocated vcpus: <*>,"['16,', '1']"
36,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.266,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=2560MB phys_disk=15GB used_disk=20GB total_vcpus=16 used_vcpus=1 pci_stats=[],d0c14aa4,Final resource view: <*> <*> <*> <*> <*> <*> <*> pci_stats=[],"['name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us', 'phys_ram=64172MB', 'used_ram=2560MB', 'phys_disk=15GB used_disk=20GB total_vcpus=16 used_vcpus=1']"
37,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:14.329,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,7d500875,Compute_service record updated for <*>,['cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us']
38,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:15.141,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,76fa7094,image <*> at <*>,"['0673dd71-34c5-4fbb-86c4-40623fbe45b4', '(/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking']"
39,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:15.142,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",62dfeccd,"image <*> at <*> use: on this node <*> local, <*> on other nodes sharing this instance storage","['0673dd71-34c5-4fbb-86c4-40623fbe45b4', '(/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in', '1', '0']"
40,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:15.318,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,b36febb0,Active base files: <*>,['/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742']
41,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:16.795,25783,INFO,nova.metadata.wsgi.server,req-b40b44ea-c721-4bc4-b1cd-bb238982ede4 - - - - -,"10.11.21.122,10.11.10.1 ""GET /openstack/2012-08-10/meta_data.json HTTP/1.1"" status: 200 len: 264 time: 0.2451560",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.21.122,10.11.10.1', '/openstack/2012-08-10/meta_data.json HTTP/1.1"" status: 200', '264', '0.2451560']"
42,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:16.806,25783,INFO,nova.metadata.wsgi.server,-,"10.11.21.122,10.11.10.1 ""GET /openstack/2013-10-17 HTTP/1.1"" status: 200 len: 157 time: 0.0008290",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.21.122,10.11.10.1', '/openstack/2013-10-17 HTTP/1.1"" status: 200', '157', '0.0008290']"
43,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.120,25786,INFO,nova.metadata.wsgi.server,req-f9565d6d-171c-408f-8b5f-9e9792826f42 - - - - -,"10.11.21.122,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.2197890",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.21.122,10.11.10.1', '/openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200', '124', '0.2197890']"
44,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.441,25793,INFO,nova.metadata.wsgi.server,req-ed0b5830-26a8-4484-8164-feaebe737259 - - - - -,"10.11.21.122,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.2368760",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.21.122,10.11.10.1', '/openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200', '124', '0.2368760']"
45,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.504,25746,INFO,nova.osapi_compute.wsgi.server,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/b9000564-fe1a-409b-b8cc-1e88b294cd1d HTTP/1.1"" status: 204 len: 203 time: 0.2534380",ddd37b03,"<*> ""DELETE <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/b9000564-fe1a-409b-b8cc-1e88b294cd1d HTTP/1.1"" status: 204', '203', '0.2534380']"
46,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.531,25793,INFO,nova.metadata.wsgi.server,-,"10.11.21.122,10.11.10.1 ""GET /openstack/2013-10-17/user_data HTTP/1.1"" status: 404 len: 176 time: 0.0010660",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.21.122,10.11.10.1', '/openstack/2013-10-17/user_data HTTP/1.1"" status: 404', '176', '0.0010660']"
47,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:17.541,2931,INFO,nova.compute.manager,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Terminating instance,fcc9fd98,[instance: <*> Terminating instance,['b9000564-fe1a-409b-b8cc-1e88b294cd1d]']
48,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:17.754,2931,INFO,nova.virt.libvirt.driver,-,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Instance destroyed successfully.,53dc6369,[instance: <*> Instance destroyed successfully.,['b9000564-fe1a-409b-b8cc-1e88b294cd1d]']
49,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.773,25746,INFO,nova.osapi_compute.wsgi.server,req-430aaf51-6fd5-4ede-bab8-7ca540ec136c 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1916 time: 0.2658210",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.10.1', '/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200', '1916', '0.2658210']"
50,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:17.861,25784,INFO,nova.metadata.wsgi.server,req-567bc482-6358-4db5-99c5-b011692d6cf8 - - - - -,"10.11.21.122,10.11.10.1 ""GET /openstack/2013-10-17/meta_data.json HTTP/1.1"" status: 200 len: 967 time: 0.2349129",8e2d20a1,"<*> ""GET <*> <*> len: <*> time: <*>","['10.11.21.122,10.11.10.1', '/openstack/2013-10-17/meta_data.json HTTP/1.1"" status: 200', '967', '0.2349129']"
51,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:18.450,2931,INFO,nova.virt.libvirt.driver,req-c53a921a-16c7-422e-8c9d-c922a720d047 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deleting instance files /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del,b81be278,[instance: <*> Deleting instance files <*>,"['b9000564-fe1a-409b-b8cc-1e88b294cd1d]', '/var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del']"
